Beach,Date,Hour,Wind_speed,Gust,Wave,Period,Temperature,Wind_direction,Wave_direction,Degrees
Hondarribia,22,19h,4,7,"1,3",10,10,SSE (158.8366762567016°),NO (307°),OFF-SHORE
Hondarribia,22,22h,5,7,"1,3",10,10,SSO (209.23869882097964°),NO (306°),OFF-SHORE
Hondarribia,23,04h,6,8,"1,1",10,10,SO (216.79757081170393°),NO (305°),OFF-SHORE
Hondarribia,23,07h,4,6,"1,0",9,10,SSO (200.55615601804342°),NO (304°),OFF-SHORE
Hondarribia,23,10h,5,6,"0,9",9,10,S (178.1122400531904°),ONO (302°),OFF-SHORE
Hondarribia,23,13h,4,7,"0,9",9,11,E (98.97257135790986°),ONO (301°),SIDE-SHORE
Hondarribia,23,16h,4,7,"0,9",9,12,E (95.84935442287286°),ONO (300°),SIDE-SHORE
Hondarribia,23,19h,5,8,"0,9",9,10,ESE (110.00059850785736°),ONO (298°),SIDE-SHORE
Hondarribia,23,22h,5,8,"0,9",9,10,SE (136.00504530185938°),ONO (296°),OFF-SHORE
Bakio,14,07h,8,14,"0,7",13,14,S (184.74224256657925°),O (278°),OFF-SHORE
Bakio,14,09h,8,17,"0,7",13,14,S (187.77437033721995°),O (277°),OFF-SHORE
Bakio,14,11h,8,16,"0,8",13,15,SSO (196.4034542160456°),O (277°),OFF-SHORE
Bakio,14,13h,6,12,"1,0",13,16,SSO (202.16730710187244°),O (279°),OFF-SHORE
Bakio,14,15h,6,14,"1,1",12,17,SSO (197.27769830899032°),O (279°),OFF-SHORE
Bakio,14,17h,8,15,"1,1",12,16,S (185.2766857973409°),O (279°),OFF-SHORE
Bakio,14,19h,10,20,"1,0",13,15,S (178.72291090102496°),O (280°),OFF-SHORE
Bakio,14,21h,10,20,"1,1",13,15,S (176.83660626359693°),O (280°),OFF-SHORE
Bakio,15,03h,10,18,"1,4",15,14,S (184.05370933457218°),O (281°),OFF-SHORE
Bakio,15,05h,10,20,"1,5",14,13,S (185.40763680640742°),O (280°),OFF-SHORE
Bakio,15,07h,7,16,"1,5",14,13,S (187.44137532162526°),O (281°),OFF-SHORE
Bakio,15,09h,6,11,"1,4",14,12,S (180.89935491369116°),O (280°),SIDE-SHORE
Bakio,15,11h,5,10,"1,3",13,14,SO (231.65147120045975°),O (280°),OFF-SHORE
Bakio,15,13h,8,15,"1,2",13,13,SO (228.5037598914403°),O (280°),OFF-SHORE
Bakio,15,15h,9,17,"1,0",13,13,OSO (242.8353245749028°),O (280°),SIDE-SHORE
Bakio,15,17h,6,16,"1,0",12,13,O (260.20299061019716°),O (281°),SIDE-SHORE
Bakio,15,19h,7,17,"0,9",12,13,ONO (282.87949869878196°),O (281°),SIDE-SHORE
Bakio,15,21h,9,16,"0,9",12,13,NO (315.7509699061722°),O (280°),ON-SHORE
Bakio,16,03h,7,12,"1,3",6,11,NNO (342.2763629117402°),N (356°),ON-SHORE
Bakio,16,05h,6,10,"1,4",7,11,NE (35.02622787779214°),N (360°),ON-SHORE
Bakio,16,07h,7,11,"1,5",7,11,NE (45.741958303280754°),N (0°),ON-SHORE
Bakio,16,09h,8,12,"1,7",7,10,NE (50.47511076649068°),N (3°),SIDE-SHORE
Bakio,16,11h,8,11,"1,7",7,10,NE (52.475266996883434°),N (6°),SIDE-SHORE
Bakio,16,13h,7,9,"1,7",7,10,NE (46.91749915415447°),N (8°),ON-SHORE
Bakio,16,15h,6,9,"1,6",7,9,NE (38.08219902480254°),N (9°),ON-SHORE
Bakio,16,17h,5,8,"1,5",7,9,NE (42.55815133749391°),N (10°),ON-SHORE
Bakio,16,19h,6,8,"1,4",7,8,NE (43.44424179185734°),N (10°),ON-SHORE
Bakio,16,21h,5,7,"1,3",7,8,ENE (75.6209596426021°),NNE (13°),SIDE-SHORE
Bakio,17,03h,4,6,"1,1",6,7,SE (144.73219679224925°),NNE (14°),OFF-SHORE
Bakio,17,05h,5,7,"1,0",6,6,SE (140.4936849481352°),NNE (14°),OFF-SHORE
Bakio,17,07h,6,8,"0,9",6,7,SE (130.28632156830733°),NNE (16°),OFF-SHORE
Bakio,17,09h,7,9,"0,9",6,8,SE (128.90053228761076°),NNE (14.666666666666664°),OFF-SHORE
Bakio,17,11h,5,8,"0,8",5,10,ESE (121.08189385410351°),NNE (14.666666666666664°),OFF-SHORE
Bakio,17,13h,3,6,"0,7",5,12,SSE (162.45124486012773°),NNE (16°),OFF-SHORE
Bakio,17,15h,3,5,"0,7",5,13,NO (326.2058894810581°),NNE (16.666666666666664°),ON-SHORE
Bakio,17,17h,3,4,"0,6",8,12,E (98.35630322908436°),ESE (110.66666666666666°),SIDE-SHORE
Bakio,17,19h,5,6,"0,6",14,12,SSE (163.2791880367626°),ONO (298°),OFF-SHORE
Bakio,17,22h,7,15,"0,5",14,10,S (182.86233423506124°),ONO (296°),OFF-SHORE
Bakio,18,04h,14,30,"0,7",13,13,SSO (193.8320213648156°),ONO (284°),OFF-SHORE
Bakio,18,06h,15,32,"0,8",13,14,SSO (193.83752128460029°),ONO (283.3333333333333°),OFF-SHORE
Bakio,18,08h,16,34,"0,9",10,14,SSO (193.16711529501674°),OSO (250.33333333333331°),OFF-SHORE
Bakio,18,10h,17,35,"1,0",5,14,SSO (191.89345566978935°),S (185°),OFF-SHORE
Bakio,18,12h,16,33,"0,9",10,15,SSO (191.70685754030066°),OSO (250.99999999999997°),OFF-SHORE
Bakio,18,14h,16,33,"0,9",10,15,S (190.90472415341605°),OSO (250.99999999999997°),OFF-SHORE
Bakio,18,16h,16,35,"0,9",5,15,S (189.78398517103736°),S (185°),OFF-SHORE
Bakio,18,18h,16,35,"1,0",5,15,S (189.99061250482112°),S (187.66666666666666°),OFF-SHORE
Bakio,18,20h,15,34,"1,1",5,15,S (190.73430137810476°),S (190.66666666666666°),OFF-SHORE
Bakio,18,22h,14,32,"1,2",4,15,SSO (191.92271903753036°),SSO (194°),OFF-SHORE
Bakio,19,04h,14,31,"1,3",5,15,S (188.87503567971586°),S (191°),OFF-SHORE
Bakio,19,06h,17,25,"1,2",9,14,S (187.17028560930729°),OSO (248.99999999999997°),OFF-SHORE
Bakio,19,08h,19,36,"1,2",11,14,S (185.61453717442078°),O (277.3333333333333°),OFF-SHORE
Bakio,19,10h,18,37,"1,2",11,15,S (185.87947154990985°),O (276°),OFF-SHORE
Bakio,19,12h,10,32,"1,3",11,16,SSO (196.22643134846868°),O (274.66666666666663°),OFF-SHORE
Bakio,19,14h,7,30,"1,4",11,17,S (190.52147642302054°),O (274°),OFF-SHORE
Bakio,19,16h,15,32,"1,6",11,17,SSO (192.0878585607406°),O (274°),OFF-SHORE
Bakio,19,18h,16,32,"1,5",13,16,S (184.39175010241098°),O (280°),OFF-SHORE
Bakio,19,20h,16,31,"1,5",14,16,S (182.39045068582755°),ONO (283.66666666666663°),OFF-SHORE
Bakio,19,22h,11,26,"1,5",15,14,S (174.70394398979252°),ONO (285°),OFF-SHORE
Bakio,20,04h,11,26,"1,6",15,15,S (185.5364655460029°),ONO (284°),OFF-SHORE
Bakio,20,07h,12,28,"1,7",14,14,S (182.98691148826322°),ONO (283°),OFF-SHORE
Bakio,20,10h,10,28,"1,7",14,14,S (185.88759204012746°),ONO (282°),OFF-SHORE
Bakio,20,13h,7,20,"1,6",14,15,S (178.66720827905965°),O (280°),OFF-SHORE
Bakio,20,16h,8,17,"1,5",14,16,SSE (165.5385745641106°),O (280°),OFF-SHORE
Bakio,20,19h,8,20,"1,5",14,14,S (169.70773368623654°),ONO (282°),OFF-SHORE
Bakio,20,22h,7,13,"1,2",14,14,SO (232.6421332659855°),ONO (287°),OFF-SHORE
Bakio,21,04h,10,18,"1,6",13,12,ONO (288.4716734958968°),ONO (300°),SIDE-SHORE
Bakio,21,07h,9,20,"1,6",13,12,OSO (256.1877276619351°),ONO (301°),SIDE-SHORE
Bakio,21,10h,8,17,"1,8",13,11,O (268.1284202637662°),ONO (301°),SIDE-SHORE
Bakio,21,13h,9,18,"2,0",12,13,OSO (240.0488931467885°),ONO (302°),SIDE-SHORE
Bakio,21,16h,7,10,"2,2",12,11,NO (314.4235505939107°),NO (304°),ON-SHORE
Bakio,21,19h,4,6,"2,2",11,10,ONO (286.32088626313924°),NO (308°),SIDE-SHORE
Bakio,21,22h,4,4,"2,1",11,9,SSE (147.5833015753042°),NO (309°),OFF-SHORE
Bakio,22,04h,5,6,"1,6",11,8,SSE (162.29321766683358°),NO (312°),OFF-SHORE
Bakio,22,07h,5,8,"1,4",10,8,SSE (163.32383347582908°),NO (310°),OFF-SHORE
Bakio,22,10h,7,10,"1,4",10,8,SSE (147.57518677564437°),NO (310°),OFF-SHORE
Bakio,22,13h,7,12,"1,4",10,11,SSE (152.62142682401426°),NO (311°),OFF-SHORE
Bakio,22,16h,7,12,"1,3",10,12,SSE (158.9142567692266°),NO (310°),OFF-SHORE
Bakio,22,19h,6,10,"1,3",10,10,SSO (193.03868586177808°),NO (310°),OFF-SHORE
Bakio,22,22h,8,13,"1,2",10,10,SO (229.66304542202087°),NO (309°),OFF-SHORE
Bakio,23,04h,6,8,"1,1",9,10,SSO (195.47850744150443°),NO (307°),OFF-SHORE
Bakio,23,07h,6,6,"1,0",9,9,SSO (211.40166575338816°),NO (306°),OFF-SHORE
Bakio,23,10h,6,9,"0,9",9,10,SSO (213.32962426561974°),NO (305°),OFF-SHORE
Bakio,23,13h,5,8,"0,9",9,12,S (180.1393348285506°),ONO (303°),SIDE-SHORE
Bakio,23,16h,6,11,"0,9",9,13,SE (127.61411709254526°),ONO (301°),OFF-SHORE
Bakio,23,19h,8,12,"1,0",10,11,SE (139.50445689477556°),ONO (298°),OFF-SHORE
Bakio,23,22h,8,14,"1,1",13,11,SSE (167.87793356918186°),ONO (291°),OFF-SHORE
Cabo Higuer,14,07h,5,9,"0,7",13,14,SSO (191.50969888946597°),O (278°),OFF-SHORE
Cabo Higuer,14,09h,7,15,"0,7",13,14,SSO (197.605614163066°),O (278°),OFF-SHORE
Cabo Higuer,14,11h,5,11,"0,7",13,15,SSO (207.6076826540218°),O (277°),OFF-SHORE
Cabo Higuer,14,13h,6,9,"0,7",13,17,S (185.10748376029426°),O (277°),OFF-SHORE
Cabo Higuer,14,15h,5,10,"0,8",13,17,S (178.5752330611514°),O (278°),OFF-SHORE
Cabo Higuer,14,17h,5,11,"1,0",13,16,SSE (153.95912342203488°),O (278°),OFF-SHORE
Cabo Higuer,14,19h,7,13,"1,0",13,16,S (175.08311361288304°),O (279°),OFF-SHORE
Cabo Higuer,14,21h,6,13,"1,0",13,16,S (177.0030223139123°),O (279°),OFF-SHORE
Cabo Higuer,15,03h,5,11,"1,0",15,14,SSE (161.55062786634343°),ONO (283°),OFF-SHORE
Cabo Higuer,15,05h,5,8,"1,1",15,14,SE (140.2611839402442°),ONO (283°),OFF-SHORE
Cabo Higuer,15,07h,5,8,"1,2",14,14,S (178.3630004300962°),ONO (282°),OFF-SHORE
Cabo Higuer,15,09h,8,13,"1,2",14,14,SSO (209.9742057315448°),O (281°),OFF-SHORE
Cabo Higuer,15,11h,6,11,"1,1",14,14,SSO (196.7645316719612°),O (281°),OFF-SHORE
Cabo Higuer,15,13h,6,11,"1,0",13,15,OSO (248.1269628912313°),O (281°),SIDE-SHORE
Cabo Higuer,15,15h,9,15,"0,9",13,15,OSO (249.61262510401056°),O (280°),SIDE-SHORE
Cabo Higuer,15,17h,11,18,"0,9",13,13,OSO (244.04270121962296°),O (280°),SIDE-SHORE
Cabo Higuer,15,19h,12,20,"0,8",12,13,SO (235.88305075310836°),O (280°),OFF-SHORE
